Date,ODC,R2000,Rentabilidad_ODC,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,ODC Premium
2015-01-01,11.495287895202637,1165.3900146484375,,,-0.031,-0.0059,-0.0345,0.0,,
2015-02-01,11.401437759399414,1233.3699951171875,-0.0081642266517213,0.056694448796188,0.0613,0.0060999999999999995,-0.0179,0.0,0.056694448796188,-0.0081642266517213
2015-03-01,12.712556838989258,1252.77001953125,0.1149959423765611,0.0156068588870214,-0.0111,0.0305,-0.0038,0.0,0.0156068588870214,0.1149959423765611
2015-04-01,12.3989896774292,1220.1300048828125,-0.0246659397894176,-0.0263997007507218,0.0059,-0.029900000000000003,0.018000000000000002,0.0,-0.0263997007507218,-0.0246659397894176
2015-05-01,11.741641998291016,1246.530029296875,-0.0530162292444522,0.0214063001360329,0.0137,0.0095,-0.0111,0.0,0.0214063001360329,-0.0530162292444522
2015-06-01,11.55099868774414,1253.949951171875,-0.0162365119439532,0.0059348154847655,-0.0152,0.0294,-0.008199999999999999,0.0,0.0059348154847655,-0.0162365119439532
2015-07-01,9.984502792358398,1238.6800537109375,-0.135615624045376,-0.0122521902184314,0.015700000000000002,-0.0417,-0.0416,0.0,-0.0122521902184314,-0.135615624045376
2015-08-01,8.878070831298828,1159.449951171875,-0.1108149283013245,-0.0661006272144983,-0.0602,0.0037,0.0275,0.0,-0.0661006272144983,-0.1108149283013245
2015-09-01,8.783226013183594,1100.68994140625,-0.010683043638362,-0.0520085099904898,-0.030600000000000002,-0.0263,0.0055000000000000005,0.0,-0.0520085099904898,-0.010683043638362
2015-10-01,12.0357027053833,1161.8599853515625,0.3703054762928508,0.0540849539910925,0.0775,-0.019,-0.004699999999999999,0.0,0.0540849539910925,0.3703054762928508
2015-11-01,11.974332809448242,1198.1099853515625,-0.0050989873576395,0.0307231463155679,0.005699999999999999,0.0358,-0.0043,0.0,0.0307231463155679,-0.0050989873576395
