Date,ODC,R2000,Rentabilidad_ODC,Rentabilidad_R2000
2015-01-01,11.495287895202637,1165.3900146484375,,
2015-02-01,11.401437759399414,1233.3699951171875,-0.00816422665172134,0.05669444879618809
2015-03-01,12.712556838989258,1252.77001953125,0.11499594237656119,0.015606858887021487
2015-04-01,12.3989896774292,1220.1300048828125,-0.024665939789417668,-0.026399700750721896
2015-05-01,11.741641998291016,1246.530029296875,-0.05301622924445226,0.021406300136032987
2015-06-01,11.55099868774414,1253.949951171875,-0.016236511943953258,0.005934815484765593
2015-07-01,9.984502792358398,1238.6800537109375,-0.13561562404537608,-0.012252190218431493
2015-08-01,8.878070831298828,1159.449951171875,-0.11081492830132456,-0.06610062721449832
2015-09-01,8.783226013183594,1100.68994140625,-0.010683043638362033,-0.05200850999048984
2015-10-01,12.0357027053833,1161.8599853515625,0.3703054762928508,0.05408495399109256
2015-11-01,11.974332809448242,1198.1099853515625,-0.005098987357639584,0.03072314631556794
2015-12-01,14.225913047790527,1135.8900146484375,0.18803387831058904,-0.05332880543067697
2016-01-01,14.484705924987793,1035.3800048828125,0.01819165324066563,-0.09264798371185325
2016-02-01,14.229779243469238,1033.9000244140625,-0.01759971399065663,-0.0014304305846954807
2016-03-01,13.12230110168457,1114.030029296875,-0.07782820259091128,0.07464601419856282
2016-04-01,12.959147453308105,1130.8499755859375,-0.012433310828046773,0.014985443331922407
2016-05-01,12.62895393371582,1154.7900390625,-0.025479571150955338,0.020949002332947424
2016-06-01,13.505373001098633,1151.9200439453125,0.0693975979311332,-0.0024883895200060835
2016-07-01,14.647446632385254,1219.93994140625,0.08456439012781924,0.05737147561037787
2016-08-01,14.780426025390625,1239.9100341796875,0.009078674006659737,0.01623719472606907
2016-09-01,14.810615539550781,1251.6500244140625,0.0020425334228049152,0.009423876481663781
2016-10-01,13.283906936645508,1191.3900146484375,-0.10308204941437427,-0.04934199539979032
2016-11-01,15.625117301940918,1322.3399658203125,0.1762441107470314,0.10428216361081656
2016-12-01,15.118915557861328,1357.1300048828125,-0.0323966684088004,0.02596931082335527
2017-01-01,13.314614295959473,1361.8199462890625,-0.1193406534348741,0.003449821542748135
2017-02-01,13.95956802368164,1386.6800537109375,0.04843953518938138,0.01809043871418621
2017-03-01,14.840631484985352,1385.9200439453125,0.06311538149382812,-0.0005482289243968323
2017-04-01,16.20244598388672,1400.4300537109375,0.09176257090401774,0.010415159920290037
2017-05-01,13.725692749023438,1370.2099609375,-0.1528629218900902,-0.021815386416551886
2017-06-01,16.824329376220703,1415.3599853515625,0.22575447985441244,0.03241992109193808
2017-07-01,16.56401252746582,1425.1400146484375,-0.015472643392420271,0.006886159439254762
2017-08-01,16.299697875976562,1405.280029296875,-0.01595716322062546,-0.014033472753076483
2017-09-01,19.70787239074707,1490.8599853515625,0.20909433663759325,0.059116532800535276
2017-10-01,16.9206600189209,1502.530029296875,-0.14142634560262224,0.007797248613466787
2017-11-01,18.161205291748047,1544.1400146484375,0.07331541863260393,0.027316757105198076
2017-12-01,16.805931091308594,1535.510009765625,-0.07462468369625519,-0.0056045507795594455
2018-01-01,15.748985290527344,1574.97998046875,-0.06289123732798496,0.025379981609296984
2018-02-01,14.602946281433105,1512.449951171875,-0.07276906974975428,-0.04051174114224981
2018-03-01,16.374361038208008,1529.4300537109375,0.12130529844016236,0.011164331848308812
2018-04-01,15.791740417480469,1541.8800048828125,-0.03558127363675745,0.008107302178663725
2018-05-01,15.852861404418945,1633.6099853515625,0.0038704401999174465,0.05778982662413106
2018-06-01,17.274505615234375,1643.0699462890625,0.08967745156840579,0.005774129556880313
2018-07-01,17.36469268798828,1670.800048828125,0.00522081932546703,0.016736172416226054
2018-08-01,16.663711547851562,1740.75,-0.04036818576245871,0.04101347197523782
2018-09-01,15.900026321411133,1696.5699462890625,-0.04582923943729034,-0.025707520687573905
2018-10-01,12.753835678100586,1511.4100341796875,-0.1978732977991272,-0.1155655215737511
2018-11-01,12.118821144104004,1533.27001953125,-0.04979008276599928,0.014359709785169235
2018-12-01,11.010638236999512,1348.56005859375,-0.09144312750614692,-0.12836532242532533
2019-01-01,11.02725887298584,1499.4200439453125,0.001509507044784808,0.10604099603583528
2019-02-01,12.111701011657715,1575.550048828125,0.09834194981388356,0.04952605268474461
2019-03-01,13.0507230758667,1539.739990234375,0.07753015561605747,-0.02299088399888306
2019-04-01,13.331517219543457,1591.2099609375,0.02151560048009915,0.032881143893322445
2019-05-01,12.317299842834473,1465.489990234375,-0.0760766655442775,-0.08230505768194442
2019-06-01,14.363269805908203,1566.5699462890625,0.16610539559641913,0.06669883085878303
2019-07-01,14.949783325195312,1574.6099853515625,0.04083426178110594,0.005119131533524349
2019-08-01,12.979259490966797,1494.8399658203125,-0.13180952468438345,-0.05198845842567024
2019-09-01,14.486713409423828,1523.3699951171875,0.1161432914956495,0.01890582792618694
2019-10-01,14.890779495239258,1562.449951171875,0.027892184679554566,0.025330088100471045
2019-11-01,15.435196876525879,1624.5,0.036560703988711696,0.03894500526160994
2019-12-01,15.532835006713867,1668.469970703125,0.006325680907671272,0.026706945139745364
2020-01-01,15.168617248535156,1614.06005859375,-0.02344824740759055,-0.03315424108669096
2020-02-01,13.039012908935547,1476.4300537109375,-0.14039541671507771,-0.0891257321373237
2020-03-01,14.429564476013184,1153.0999755859375,0.10664546287278398,-0.24717310142036114
2020-04-01,16.134016036987305,1310.6600341796875,0.11812217643903922,0.12807690658972246
2020-05-01,15.2882661819458,1394.0400390625,-0.05242029344105137,0.061675181140211706
2020-06-01,15.085607528686523,1441.3699951171875,-0.013255829722444323,0.03338801245329068
2020-07-01,15.116039276123047,1480.4300537109375,0.0020172702609857485,0.026738575592854752
2020-08-01,15.224725723266602,1561.8800048828125,0.007190140562497227,0.05355760461024127
2020-09-01,15.658631324768066,1507.68994140625,0.02850006032216168,-0.035311587710451633
2020-10-01,14.953838348388672,1538.47998046875,-0.045009871026504555,0.02021626402703782
2020-11-01,15.072033882141113,1819.8199462890625,0.007904026444499834,0.16794266225904858
2020-12-01,15.031120300292969,1974.8599853515625,-0.0027145362177445342,0.08175993676279993
2021-01-01,15.291342735290527,2073.639892578125,0.017312244849273517,0.04880796296254737
2021-02-01,14.81059455871582,2201.050048828125,-0.031439238848868345,0.05962907610746474
2021-03-01,15.299788475036621,2220.52001953125,0.033029998517710935,0.008806870068511866
2021-04-01,15.51746940612793,2266.449951171875,0.014227708536394434,0.020473297680264138
2021-05-01,16.237144470214844,2268.969970703125,0.04637837815247825,0.0011112619488339802
2021-06-01,15.297050476074219,2310.550048828125,-0.05789774155579619,0.018159641449543927
2021-07-01,15.919140815734863,2226.25,0.040667339147088644,-0.03716705694257479
2021-08-01,15.968369483947754,2273.77001953125,0.003092419922828382,0.021120699821365913
2021-09-01,15.783947944641113,2204.3701171875,-0.011549177860145976,-0.030997448492661818
2021-10-01,15.702771186828613,2297.18994140625,-0.0051429945218528506,0.04124480441584062
2021-11-01,15.017300605773926,2198.909912109375,-0.04365284145703252,-0.04372486829571062
2021-12-01,14.871224403381348,2245.31005859375,-0.00972719440246228,0.02088187931942261
2022-01-01,15.457354545593262,2028.449951171875,0.039413711091511816,-0.10157169185629333
2022-02-01,14.030657768249512,2048.090087890625,-0.09229889714540362,0.009635763903954143
2022-03-01,13.12641716003418,2070.1298828125,-0.06444748515365906,0.010703656191268916
2022-04-01,11.431208610534668,1864.0999755859375,-0.12914480233501113,-0.10483300083282843
2022-05-01,10.890573501586914,1864.0400390625,-0.047294658628617814,-3.215357964410743e-05
2022-06-01,14.196310997009277,1707.989990234375,0.3035411766828138,-0.0874289613857588
2022-07-01,13.960091590881348,1885.22998046875,-0.01663949220172012,0.09873258418092604
2022-08-01,12.778997421264648,1844.1199951171875,-0.08460504445315986,-0.022047622720424057
2022-09-01,11.32383918762207,1664.719970703125,-0.11387107968432242,-0.1023452727674846
2022-10-01,13.817889213562012,1846.8599853515625,0.22024774324472496,0.10382996829668929
2022-11-01,15.301220893859863,1886.5799560546875,0.10734864474394445,0.021278750982078733
2022-12-01,15.832077980041504,1761.25,0.034693773122030036,-0.06874185857172196
2023-01-01,17.130178451538086,1931.93994140625,0.08199179369461262,0.09250086484773742
2023-02-01,17.668298721313477,1896.989990234375,0.03141358225179913,-0.01825623476875189
2023-03-01,19.786823272705078,1802.47998046875,0.1199054071253618,-0.05110493073051045
2023-04-01,20.152976989746094,1768.989990234375,0.018504926839171043,-0.01875472684925927
2023-05-01,18.055892944335938,1749.6500244140625,-0.10405827617811303,-0.01099297484352965
2023-06-01,28.248096466064453,1888.72998046875,0.5644807240023966,0.07648885330746762
2023-07-01,30.058198928833008,2003.1800537109375,0.06407874119741486,0.05883130946717172
2023-08-01,32.275333404541016,1899.6800537109375,0.07376138806444743,-0.053050465452057514
2023-09-01,29.704357147216797,1785.0999755859375,-0.07965762042174573,-0.06221105681423135
2023-10-01,27.55409812927246,1662.280029296875,-0.07238867373185376,-0.07128425080596895
