Date,Date,ODC,R2000,Rentabilidad_ODC,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,ODC Premium,residuos,residuos_normalizados,intervencion,residuos_outlier
2015-02-01,2015-02-01,11.401437759399414,1233.3699951171875,-0.0081642266517213,0.056694448796188,0.0613,0.0060999999999999,-0.0179,0.0,0.056694448796188,-0.0081642266517213,-0.04987192900854426,-0.47387034631685154,0,-0.04176892647279812
2015-03-01,2015-03-01,12.712556838989258,1252.77001953125,0.1149959423765611,0.0156068588870214,-0.0111,0.0305,-0.0038,0.0,0.0156068588870214,0.1149959423765611,0.09418933120193723,0.8949629958842745,0,0.09905906840458875
2015-04-01,2015-04-01,12.3989896774292,1220.1300048828125,-0.0246659397894176,-0.0263997007507218,0.0059,-0.0299,0.018,0.0,-0.0263997007507218,-0.0246659397894176,-0.024103983589319943,-0.2290299027561147,0,-0.02253982730147856
2015-05-01,2015-05-01,11.741641998291016,1246.530029296875,-0.0530162292444522,0.0214063001360329,0.0137,0.0095,-0.0111,0.0,0.0214063001360329,-0.0530162292444522,-0.0767729927794206,-0.7294773913784715,0,-0.0714468858460742
2015-06-01,2015-06-01,11.55099868774414,1253.949951171875,-0.0162365119439532,0.0059348154847655,-0.0152,0.0294,-0.0081999999999999,0.0,0.0059348154847655,-0.0162365119439532,-0.032122993670350736,-0.30522449076905,0,-0.02801436907376433
2015-07-01,2015-07-01,9.984502792358398,1238.6800537109375,-0.135615624045376,-0.0122521902184314,0.0157,-0.0417,-0.0416,0.0,-0.0122521902184314,-0.135615624045376,-0.14225044936228218,-1.3516274794881857,0,-0.13957299693186417
2015-08-01,2015-08-01,8.878070831298828,1159.449951171875,-0.1108149283013245,-0.0661006272144983,-0.0602,0.0037,0.0275,0.0,-0.0661006272144983,-0.1108149283013245,-0.09005727101796501,-0.8557012141704466,0,-0.09161726071948062
2015-09-01,2015-09-01,8.783226013183594,1100.68994140625,-0.010683043638362,-0.0520085099904898,-0.0306,-0.0263,0.0055,0.0,-0.0520085099904898,-0.010683043638362,0.002906010480382847,0.02761217021510225,0,0.0024549579102741
2015-10-01,2015-10-01,12.0357027053833,1161.8599853515625,0.3703054762928508,0.0540849539910925,0.0775,-0.019,-0.0046999999999999,0.0,0.0540849539910925,0.3703054762928508,0.32992521341304154,3.134865208681101,0,0.337822869538622
2015-11-01,2015-11-01,11.974332809448242,1198.1099853515625,-0.0050989873576395,0.0307231463155679,0.0056999999999999,0.0358,-0.0043,0.0,0.0307231463155679,-0.0050989873576395,-0.03359519294699668,-0.31921295271428796,0,-0.02753592459355577
2015-12-01,2015-12-01,14.225913047790527,1135.8900146484375,0.188033878310589,-0.0533288054306769,-0.0215,-0.0279999999999999,-0.0256999999999999,0.0001,-0.0534288054306769,0.187933878310589,0.202245430988306,1.9216844892245917,0,0.20168261250494557
2016-01-01,2016-01-01,14.484705924987791,1035.3800048828125,0.0181916532406656,-0.0926479837118532,-0.0574,-0.034,0.0208,0.0001,-0.0927479837118532,0.0180916532406656,0.052404713241659864,0.49793621594637255,0,0.048747789303505346
2016-02-01,2016-02-01,14.229779243469238,1033.9000244140625,-0.0175997139906566,-0.0014304305846954,-0.0006,0.0073,-0.0060999999999999,0.0002,-0.0016304305846954,-0.0177997139906566,-0.02983778557026432,-0.28351102639496295,0,-0.02632448544772941
2016-03-01,2016-03-01,13.12230110168457,1114.030029296875,-0.0778282025909112,0.0746460141985628,0.0695,0.0075,0.0121999999999999,0.0002,0.0744460141985628,-0.0780282025909112,-0.12876605463337026,-1.2235022008576384,0,-0.11926614560711092
2016-04-01,2016-04-01,12.959147453308104,1130.8499755859375,-0.0124333108280467,0.0149854433319224,0.0092,0.0077,0.0322,0.0001,0.0148854433319224,-0.0125333108280467,-0.03297294082098736,-0.3133004717593621,0,-0.02815997326362809
2016-05-01,2016-05-01,12.62895393371582,1154.7900390625,-0.0254795711509553,0.0209490023329474,0.0178,-0.0018,-0.0162,0.0001,0.0208490023329474,-0.0255795711509553,-0.04905283954241005,-0.46608756717239525,0,-0.04377058749738661
